,user_id,recommendations
80,81,"[7410346, 1103629, 1036699, 988136, 860975]"
81,82,"[880150, 1129049, 849202, 1119761, 819308]"
82,83,"[900802, 1131892, 894100, 1056509, 879393]"
83,84,"[903529, 829722, 901397, 920025, 849870]"
84,85,"[961554, 1127732, 965530, 945086, 907128]"
85,86,"[899201, 865026, 1135834, 985740, 5569845]"
86,87,"[1079528, 914367, 1030755, 6391089, 921406]"
87,88,"[888104, 965982, 1075368, 913270, 1106523]"
88,89,"[12518070, 9487769, 16057508, 1122568, 989069]"
89,90,"[1106523, 1029743, 1068719, 942299, 6464166]"
90,91,"[13007507, 1029743, 838637, 854483, 831763]"
91,92,"[962568, 15629817, 871061, 6391089, 1046545]"
92,93,"[838637, 895454, 1108894, 878775, 1012913]"
93,94,"[999250, 1117899, 1010766, 848319, 934639]"
94,95,"[1029743, 1088771, 10456623, 10456467, 12757316]"
95,96,"[899624, 1029743, 1106523, 1127831, 1126899]"
96,97,"[1075368, 880888, 1072693, 962229, 858918]"
97,98,"[1091858, 847241, 1018278, 1095040, 1042345]"
98,99,"[1029743, 6034857, 15511396, 962568, 9416729]"
99,100,"[857503, 965766, 1104414, 1103105, 1110624]"
100,101,"[6533765, 1106523, 1070820, 909894, 1122358]"
101,102,"[5568378, 913210, 965766, 1042438, 962568]"
102,103,"[961846, 1043590, 1011832, 822407, 829852]"
103,104,"[1069506, 871563, 1098844, 1029743, 859075]"
104,105,"[961554, 1021152, 1135868, 871754, 867668]"
105,106,"[15827180, 6034857, 993466, 8090509, 5567582]"
106,107,"[1113780, 1070702, 893651, 899624, 987562]"
107,108,"[1104343, 976199, 1070820, 1024306, 5569230]"
108,109,"[1070803, 927265, 1046756, 832001, 10285006]"
109,110,"[1068719, 1044078, 5592931, 859075, 9911484]"
110,111,"[1077555, 970160, 1126899, 12524323, 1116741]"
111,112,"[5569845, 15926507, 1028891, 10285144, 982112]"
112,113,"[863780, 1070820, 13115914, 962970, 1106523]"
113,114,"[5569230, 1029743, 1074775, 13512668, 5568489]"
114,115,"[12582055, 983584, 1126899, 7154535, 844179]"
115,116,"[1104343, 976199, 1071939, 1106301, 1058997]"
116,117,"[951590, 882496, 895097, 934639, 15716745]"
117,118,"[1083043, 893018, 1134161, 919596, 972456]"
118,119,"[15972790, 1077555, 1138467, 12554515, 1058997]"
119,120,"[6533765, 1122358, 839419, 1121393, 893018]"
120,121,"[1029743, 1106523, 1070820, 9836106, 1068719]"
121,122,"[940947, 1070702, 870547, 1058779, 1096036]"
122,123,"[1029743, 1056509, 1126899, 13506200, 1031083]"
123,124,"[1037840, 957063, 985808, 870547, 1057855]"
124,125,"[934399, 834117, 5585510, 1029743, 1106523]"
125,126,"[1029743, 903325, 913210, 834117, 1070820]"
126,127,"[1075368, 865456, 1029743, 1106523, 5569230]"
127,128,"[1015375, 1015296, 833866, 850028, 969932]"
128,129,"[1058997, 962568, 5592931, 961269, 909894]"
129,130,"[6533765, 962568, 857503, 839419, 903325]"
130,131,"[1091021, 920455, 1419980, 823098, 893811]"
131,132,"[999198, 1110572, 5588161, 983078, 877447]"
132,133,"[961554, 5590661, 1012707, 5568228, 1070820]"
133,134,"[935570, 913210, 838186, 1029743, 844179]"
134,135,"[918150, 838186, 898121, 852360, 909894]"
135,136,"[8090509, 865511, 8090521, 1029743, 5569349]"
136,137,"[976199, 893018, 1058997, 1126899, 1029743]"
137,138,"[951590, 13841744, 1101706, 1070820, 1106523]"
138,139,"[1005898, 968695, 1058997, 879755, 1073150]"
139,140,"[1037840, 1075368, 8090521, 1110244, 990797]"
140,141,"[1138443, 6533765, 923590, 5590158, 6979089]"
141,142,"[1082212, 997011, 1013826, 1093966, 907631]"
142,143,"[1029743, 1106523, 1070820, 12731714, 1058997]"
143,144,"[1085604, 879755, 859075, 1043590, 1106523]"
144,145,"[893501, 9832160, 5569230, 6534030, 1029743]"
145,146,"[15926844, 15926886, 1069621, 1068719, 1058997]"
146,147,"[877447, 1082172, 1077555, 935284, 1134522]"
147,148,"[6442908, 10204559, 921952, 1138443, 5569471]"
148,149,"[873044, 6533936, 913210, 1138443, 1029743]"
149,150,"[962568, 913210, 1071939, 1102959, 857503]"
150,151,"[948086, 938300, 859427, 951197, 5569230]"
151,152,"[1128744, 1037332, 916993, 1127831, 974988]"
152,153,"[6904531, 885592, 1015694, 859075, 959985]"
153,154,"[1047968, 1080867, 871094, 1036347, 987562]"
154,155,"[1029743, 979877, 889509, 1003188, 971949]"
155,156,"[1075368, 907631, 882830, 931671, 1010440]"
156,157,"[919589, 9296804, 9526100, 9268695, 896369]"
157,158,"[1100869, 1128240, 12731714, 1104343, 868423]"
158,159,"[1139651, 963517, 1086483, 1038217, 1058779]"
159,160,"[1087102, 5580525, 1135834, 6034857, 1126899]"
160,161,"[12352054, 957063, 13115579, 935527, 1029743]"
161,162,"[1029743, 1091449, 1031906, 1122358, 990984]"
162,163,"[1058997, 1110572, 1126899, 1106523, 1085604]"
163,164,"[957736, 839605, 911470, 1029743, 961554]"
164,165,"[944534, 1070820, 1029743, 1028238, 1126899]"
165,166,"[1075368, 1029743, 1053690, 951590, 1070820]"
166,167,"[6391163, 9297151, 908318, 1072693, 948665]"
167,168,"[848071, 6602697, 951412, 1070845, 12524323]"
168,169,"[934427, 926905, 1016800, 5583751, 917033]"
169,170,"[1029743, 1126899, 893018, 5568378, 1058997]"
170,171,"[997128, 1003188, 1044078, 1029743, 1070820]"
171,172,"[6533765, 1053690, 990453, 15716445, 10456575]"
172,173,"[1029743, 1106523, 1126899, 1070820, 1058997]"
173,174,"[1043751, 1050851, 1043590, 908318, 870547]"
174,175,"[994685, 1053329, 9571047, 1070272, 1105623]"
175,176,"[856252, 844179, 7167853, 1126808, 873627]"
176,177,"[992649, 1100445, 1056509, 10250438, 977886]"
177,178,"[963686, 1085604, 1024319, 827656, 960791]"
178,179,"[5569230, 5569471, 5569845, 990797, 870547]"
179,180,"[1029743, 919948, 1013928, 10285144, 906658]"
180,181,"[962568, 896862, 1135834, 883932, 863529]"
181,182,"[1139471, 9835606, 928049, 1134522, 952317]"
182,183,"[8090440, 1106523, 1029743, 1021225, 1053690]"
183,184,"[1056509, 896085, 1056746, 5572234, 871756]"
184,185,"[1029743, 844179, 9245106, 838186, 1126899]"
185,186,"[913210, 1102959, 834117, 962568, 970030]"
186,187,"[983584, 962229, 1071939, 1054262, 934427]"
187,188,"[832678, 1029743, 1106523, 882830, 1044078]"
188,189,"[965766, 13841744, 1096036, 951590, 891118]"
189,190,"[859010, 921744, 944317, 937791, 1129576]"
190,191,"[1052945, 1036347, 876695, 8119157, 917654]"
191,192,"[1029743, 5569230, 13506200, 994685, 1106523]"
192,193,"[1029743, 908504, 1104205, 6704207, 1126899]"
193,194,"[1051468, 951412, 903325, 961554, 5569230]"
194,195,"[1029743, 7167836, 1040788, 961554, 839656]"
195,196,"[1053690, 870608, 962229, 1106523, 903325]"
196,197,"[963835, 1126899, 951590, 9881593, 1058997]"
197,198,"[931324, 1029743, 1106523, 899624, 903325]"
198,199,"[1135195, 859237, 879699, 820301, 8090521]"
199,200,"[1085604, 966005, 871514, 879755, 963971]"
200,201,"[6034857, 1138292, 1103476, 5568378, 1089766]"
201,202,"[844179, 874972, 962229, 899624, 9392700]"
202,203,"[1029743, 838186, 1026758, 9677236, 987724]"
203,204,"[15926844, 6034857, 844179, 13945244, 859075]"
204,205,"[1106523, 1028816, 923751, 1072523, 899624]"
205,206,"[1053690, 859075, 1106523, 987724, 1136257]"
206,207,"[951412, 1034343, 903325, 859075, 1135868]"
207,208,"[865456, 8091654, 1064443, 896292, 1092303]"
208,209,"[6533765, 1029743, 1106523, 983584, 916050]"
209,210,"[8019716, 15926886, 934639, 1051323, 15926844]"
210,211,"[962229, 847962, 832678, 841266, 975649]"
211,212,"[952972, 988835, 1081189, 1072917, 858302]"
212,213,"[962568, 5568378, 965766, 5569327, 1134522]"
213,214,"[1019643, 6602270, 6979526, 830790, 878775]"
214,215,"[6391089, 879699, 15926844, 970119, 902167]"
215,216,"[984715, 6533936, 874832, 1090676, 857276]"
216,217,"[7441668, 995598, 951590, 914753, 1058997]"
217,218,"[13842088, 1097001, 965772, 13842160, 6463775]"
218,219,"[1127831, 916758, 1010578, 951590, 1029743]"
219,220,"[859075, 899682, 1068719, 839419, 1106523]"
220,221,"[15926886, 863529, 12427353, 867667, 990984]"
221,222,"[999779, 1032512, 1094308, 6553737, 856772]"
222,223,"[972931, 859075, 897306, 1085604, 879755]"
223,224,"[1078478, 912117, 1074509, 850925, 912112]"
224,225,"[1110244, 1106523, 845265, 839152, 1053690]"
225,226,"[9245106, 844179, 1058997, 1044078, 965766]"
226,227,"[845193, 898601, 1022795, 15926863, 841266]"
227,228,"[961554, 1070820, 967395, 948254, 871756]"
228,229,"[993638, 1029743, 962568, 1104343, 13382402]"
229,230,"[1124695, 5572828, 1053058, 1029743, 1106523]"
230,231,"[5568378, 965766, 962568, 883932, 1102959]"
231,232,"[1049922, 6533765, 1082597, 1029743, 951590]"
232,233,"[961554, 1128016, 1068719, 1029743, 887428]"
233,234,"[5568378, 5569327, 8090537, 8090521, 1118033]"
234,235,"[983584, 1070820, 862732, 976199, 844179]"
235,236,"[1053690, 862732, 921744, 5569230, 873203]"
236,237,"[5569471, 5569230, 1028816, 5569845, 5585510]"
237,238,"[5568987, 1102416, 1106523, 9677202, 1126899]"
238,239,"[946793, 976864, 1087102, 15596866, 929433]"
239,240,"[951190, 1058779, 965766, 970030, 1071939]"
240,241,"[12301109, 871756, 1028816, 863447, 5569230]"
241,242,"[1029743, 1044078, 862732, 853643, 9677236]"
242,243,"[6034857, 962568, 1029743, 903325, 13381540]"
243,244,"[9932988, 913210, 834117, 851468, 1112754]"
244,245,"[1176766, 983584, 1044078, 1029743, 1407216]"
245,246,"[1106523, 903233, 1044805, 1134522, 9245106]"
246,247,"[878445, 9419487, 909894, 1023958, 1134522]"
247,248,"[1126899, 921836, 1058997, 1079840, 844179]"
248,249,"[1053690, 965766, 1110572, 1029743, 1127831]"
249,250,"[1029743, 951590, 923169, 923967, 15972790]"
250,251,"[1029743, 965693, 1070820, 848029, 1055168]"
251,252,"[12301109, 951590, 1085604, 1050851, 844179]"
252,253,"[951590, 845193, 1044078, 1106523, 961554]"
253,254,"[859237, 1106523, 1029743, 1126899, 5565202]"
254,255,"[940947, 1115576, 5569230, 5569471, 873964]"
255,256,"[5569230, 9858920, 1006250, 934369, 1029743]"
256,257,"[10204440, 1106523, 918046, 6396492, 1129576]"
257,258,"[869477, 1110572, 935968, 906917, 1054424]"
258,259,"[1087605, 10285141, 5995281, 9912044, 1085604]"
259,260,"[1028816, 1027569, 970030, 962229, 872137]"
260,261,"[918335, 918368, 8090521, 6463742, 5591083]"
261,262,"[965693, 821083, 987562, 1115711, 8090537]"
262,263,"[1029743, 940947, 951590, 1106523, 868161]"
263,264,"[1099802, 1027691, 9655242, 5569845, 15741787]"
264,265,"[1096036, 8090537, 8090533, 873203, 871252]"
265,266,"[1104349, 1126899, 972191, 834382, 1122358]"
266,267,"[819672, 5583751, 983584, 961554, 1085604]"
267,268,"[951590, 1071447, 1075918, 883932, 1113768]"
268,269,"[962229, 15660214, 1139782, 12731467, 1029743]"
269,270,"[1053690, 1106523, 5569230, 1003188, 985893]"
270,271,"[917033, 1129049, 849202, 8065410, 9835903]"
271,272,"[6533765, 839419, 857503, 909894, 961554]"
272,273,"[1053690, 12810328, 856818, 1030455, 8090509]"
273,274,"[883932, 993638, 859075, 1106523, 987724]"
274,275,"[1106523, 6533765, 1058405, 16766358, 12524323]"
275,276,"[951590, 1030122, 1075368, 1058930, 1108168]"
276,277,"[1077555, 1056746, 841266, 898601, 1043590]"
277,278,"[895680, 871514, 15660214, 1021416, 889551]"
278,279,"[944534, 1029743, 1082212, 962568, 845705]"
279,280,"[1029743, 1106523, 825343, 9416729, 867668]"
280,281,"[1070820, 1029743, 999104, 859075, 878636]"
281,282,"[12524067, 10344718, 957736, 1013389, 5569230]"
282,283,"[1138443, 7409644, 940947, 5569230, 1029743]"
283,284,"[8090537, 1101173, 8090521, 942525, 1106523]"
284,285,"[1013389, 1043590, 878739, 9270796, 963517]"
285,286,"[828867, 902396, 15926886, 966684, 840227]"
286,287,"[10204543, 1029743, 1106523, 843898, 1108168]"
287,288,"[1106523, 983584, 1070820, 848071, 880150]"
288,289,"[1125497, 1093571, 961554, 1055030, 849697]"
289,290,"[962229, 995230, 1077588, 838797, 896974]"
290,291,"[911311, 1128744, 1085604, 961269, 1101173]"
291,292,"[1106523, 5569230, 8090537, 1053690, 1071939]"
292,293,"[9553382, 1034081, 16100266, 13008334, 13008412]"
293,294,"[1106523, 983584, 907128, 9245108, 1126899]"
294,295,"[1024306, 5592931, 913210, 1068719, 834117]"
295,296,"[913785, 10121965, 952317, 898068, 6533765]"
296,297,"[10285373, 12648296, 907631, 1044078, 997907]"
297,298,"[1085604, 879755, 1071939, 857503, 1121393]"
298,299,"[983584, 975724, 955577, 1122358, 1106523]"
299,300,"[1106523, 944534, 13672203, 9527325, 1092937]"
300,301,"[15596764, 1067211, 5565322, 893969, 962568]"
301,302,"[15926712, 5568378, 15926725, 1102959, 5569327]"
302,303,"[951590, 845774, 9487613, 6534074, 1127831]"
303,304,"[9527184, 873627, 1029743, 1106523, 1127831]"
304,305,"[1139184, 1133850, 943076, 891028, 869577]"
305,306,"[962229, 961554, 6534480, 1029743, 1106523]"
306,307,"[1074040, 908314, 1065259, 1135468, 864335]"
307,308,"[963835, 6904613, 923654, 1043787, 990656]"
308,309,"[962850, 925054, 885290, 831063, 8090539]"
309,310,"[944836, 997796, 1136257, 859075, 873203]"
310,311,"[989824, 1106523, 1029743, 994685, 1003616]"
311,312,"[961620, 1068719, 1077555, 958647, 1010308]"
312,313,"[5568378, 913210, 965766, 1042438, 962568]"
313,314,"[882308, 12263448, 12263463, 12263340, 1101932]"
314,315,"[1085604, 1028816, 1027569, 1038217, 879755]"
315,316,"[5592931, 1117905, 1044078, 980666, 1106523]"
316,317,"[1029743, 842783, 1126899, 951590, 1058997]"
317,318,"[5569230, 1029743, 7025203, 1106523, 845193]"
318,319,"[961554, 903325, 1031833, 976199, 5569471]"
319,320,"[885290, 903325, 15926844, 990797, 1024306]"
320,321,"[905436, 1056509, 944836, 13381458, 1015785]"
321,322,"[1042571, 913210, 1006342, 5569471, 1000237]"
322,323,"[1118033, 882830, 1069582, 6553737, 1053690]"
323,324,"[903325, 1026258, 1112667, 13189981, 1117556]"
324,325,"[976199, 896862, 965679, 922907, 1058997]"
325,326,"[1043751, 1043590, 8090537, 8090521, 5569327]"
326,327,"[5568378, 5569327, 859010, 5568729, 1058779]"
327,328,"[1070820, 1126899, 885290, 821083, 1029743]"
328,329,"[1029743, 944836, 934369, 1061614, 868423]"
329,330,"[835595, 1074040, 13841744, 1058997, 824073]"
330,331,"[5569135, 1053690, 1103752, 5565322, 1007269]"
331,332,"[1029743, 1070820, 952972, 1056267, 1071939]"
332,333,"[907128, 983936, 1070702, 844179, 9526572]"
333,334,"[826144, 1067820, 1029743, 896085, 874750]"
334,335,"[12262492, 1048918, 15596706, 997689, 9677236]"
335,336,"[1106523, 835243, 835300, 6533765, 5569471]"
336,337,"[1092937, 988736, 893018, 1029743, 1106523]"
337,338,"[6979393, 13002975, 893651, 1028816, 899624]"
338,339,"[1106523, 1101769, 1020682, 1096036, 1070820]"
339,340,"[1026346, 1025611, 1002418, 6534544, 863449]"
340,341,"[6391089, 1027569, 1136257, 840890, 852856]"
341,342,"[1104649, 1106523, 832678, 938554, 987562]"
342,343,"[1038217, 848319, 1093831, 962568, 5569230]"
343,344,"[976199, 827180, 885023, 1127831, 859075]"
344,345,"[1068719, 6602697, 1003188, 1029743, 1096036]"
345,346,"[1029743, 903019, 9245108, 835098, 1105623]"
346,347,"[951590, 883932, 832678, 5568729, 13841744]"
347,348,"[899624, 1056509, 1043590, 1068719, 5569230]"
348,349,"[5569471, 844179, 5568249, 5567874, 1008643]"
349,350,"[962568, 961554, 885697, 1085604, 1029743]"
350,351,"[8020166, 1077133, 894439, 865456, 1034686]"
351,352,"[6533765, 857503, 839419, 961554, 909894]"
352,353,"[944139, 7024814, 1134810, 13907063, 1035843]"
353,354,"[912137, 10456015, 834631, 993028, 1029743]"
354,355,"[1101173, 838186, 5568378, 899624, 5569471]"
355,356,"[1049735, 1089766, 947798, 913210, 997025]"
356,357,"[1058997, 1126899, 880150, 1003188, 829852]"
357,358,"[937626, 1106523, 879008, 873627, 1029743]"
358,359,"[5568378, 913210, 965766, 1042438, 962568]"
359,360,"[8290587, 8181495, 885307, 8181282, 13189968]"
360,361,"[12132315, 1056509, 15596998, 1044078, 903325]"
361,362,"[1128395, 889649, 7409618, 13512734, 1058779]"
362,363,"[1126895, 14077333, 10457518, 10456467, 987724]"
363,364,"[899624, 1029743, 10285144, 1126899, 1092303]"
364,365,"[1062128, 1136719, 955275, 943169, 15571171]"
365,366,"[989985, 1058997, 7443013, 1070702, 1029743]"
366,367,"[9524291, 961554, 1070820, 838842, 872137]"
367,368,"[844179, 1096036, 1031864, 942525, 5569471]"
368,369,"[1036159, 896613, 825365, 1058779, 1106523]"
369,370,"[1042571, 873887, 871754, 962568, 1135834]"
370,371,"[957736, 907625, 924610, 1029743, 1106523]"
371,372,"[1106523, 1029743, 1050851, 1126899, 1070820]"
372,373,"[944317, 1102959, 937791, 1089066, 876695]"
373,374,"[1037840, 1108094, 1029743, 1015296, 1015375]"
374,375,"[1058021, 871756, 841266, 1029743, 6464165]"
375,376,"[1021133, 1044078, 1043590, 999270, 987562]"
376,377,"[994223, 1029743, 1126899, 1138443, 1070820]"
377,378,"[7025150, 962568, 973680, 9878513, 909894]"
378,379,"[5568378, 913210, 965766, 1042438, 962568]"
379,380,"[951590, 899624, 1106523, 935570, 1029743]"
380,381,"[1075368, 859075, 1029743, 1071939, 1082172]"
381,382,"[827180, 1125278, 961979, 999250, 1053754]"
382,383,"[1112824, 842630, 1126899, 890695, 850102]"
383,384,"[915274, 869868, 1068957, 1061394, 929751]"
384,385,"[1087102, 5591520, 1058997, 962568, 1106523]"
385,386,"[965210, 911470, 1029743, 1088191, 947798]"
386,387,"[952408, 832001, 1115711, 1106523, 1126899]"
387,388,"[10285144, 988693, 1055168, 1079338, 1050968]"
388,389,"[1106523, 1126899, 1019942, 1058997, 1029743]"
389,390,"[951590, 1064542, 1072693, 993638, 5569845]"
390,391,"[835619, 1029743, 962229, 8292899, 8090532]"
391,392,"[963835, 873980, 15972790, 6979821, 844179]"
392,393,"[1013928, 1031316, 1029743, 1106523, 1127831]"
393,394,"[835098, 1029743, 1106523, 867272, 13008334]"
394,395,"[1053690, 962229, 1102959, 1058997, 992139]"
395,396,"[1075368, 879031, 6919433, 1126899, 1058997]"
396,397,"[1087102, 892573, 1029743, 6904613, 13842088]"
397,398,"[1053690, 1007642, 1029743, 1005609, 1106523]"
398,399,"[870547, 896862, 1129049, 5569230, 5569471]"
399,400,"[963835, 1113651, 8090536, 1029743, 951590]"
400,401,"[942166, 841469, 827683, 6396492, 13115579]"
401,402,"[13842090, 13842214, 892573, 859075, 987562]"
402,403,"[944534, 863447, 880150, 1130375, 5569230]"
403,404,"[9392953, 1092588, 889863, 990256, 8014645]"
404,405,"[1087102, 962229, 13842088, 845193, 1104604]"
405,406,"[925350, 963689, 852208, 6552790, 903800]"
406,407,"[983584, 5569230, 8090537, 1029743, 5569471]"
407,408,"[12301100, 1029743, 1106523, 1065538, 1122358]"
408,409,"[13007600, 1070820, 852572, 856345, 1085604]"
409,410,"[992951, 1044078, 962229, 13002975, 860975]"
410,411,"[1106523, 1029743, 951590, 1114605, 999104]"
411,412,"[995628, 849098, 6533765, 1005274, 13008334]"
412,413,"[1106523, 12731544, 5569230, 970160, 1093966]"
413,414,"[872066, 1029743, 1106523, 826597, 1070820]"
414,415,"[864893, 937212, 921622, 849202, 1004436]"
415,416,"[1029743, 908318, 1070820, 999270, 820122]"
416,417,"[1029743, 1127831, 976199, 1070820, 1042438]"
417,418,"[983316, 886703, 1070820, 1029743, 1106523]"
418,419,"[5569230, 859010, 5569471, 15926885, 5569845]"
419,420,"[1029743, 12604679, 10121833, 1027569, 1116741]"
420,421,"[1029743, 1070820, 1064945, 976199, 824073]"
421,422,"[882247, 1029743, 1044078, 1070702, 961554]"
422,423,"[962568, 1015474, 13095128, 13094962, 8090513]"
423,424,"[9803591, 9802756, 924014, 897083, 914754]"
424,425,"[8249551, 969419, 13945244, 837908, 1007642]"
425,426,"[899682, 962568, 924967, 1121393, 871756]"
426,427,"[914318, 1070820, 12673354, 905942, 947797]"
427,428,"[1029743, 9487498, 861279, 1042438, 1082310]"
428,429,"[835243, 1009449, 1056509, 1058997, 1029743]"
429,430,"[1029743, 1106523, 1070820, 1042571, 929472]"
430,431,"[1029743, 962229, 1106523, 1070820, 1126899]"
431,432,"[1043590, 1127624, 1058779, 1030093, 1106523]"
432,433,"[1106523, 5565202, 1048462, 1126899, 849003]"
433,434,"[1096099, 1068292, 1039781, 1048462, 859154]"
434,435,"[8090537, 8090521, 8090532, 5569230, 917033]"
435,436,"[15830451, 962229, 1029743, 6034857, 1068715]"
436,437,"[9884698, 1053690, 1106523, 6534074, 927851]"
437,438,"[6034857, 951590, 9881593, 1029743, 962568]"
438,439,"[844179, 1009449, 943169, 896369, 959985]"
439,440,"[6034857, 1122358, 1041796, 961554, 893018]"
440,441,"[1038985, 1122358, 834382, 6533681, 9655679]"
441,442,"[1085604, 988009, 879755, 1073150, 935959]"
442,443,"[1110983, 976199, 9396705, 899624, 6463710]"
443,444,"[1106523, 5565322, 1068719, 5565664, 1112754]"
444,445,"[1004944, 930335, 983584, 8019902, 15972565]"
445,446,"[9446216, 913785, 1104584, 884945, 940766]"
446,447,"[1102959, 1058997, 5592931, 1071939, 824073]"
447,448,"[870547, 951590, 1058997, 1118533, 995876]"
448,449,"[1096036, 1129576, 910473, 830245, 1038985]"
449,450,"[13842214, 13842090, 1038217, 892573, 976199]"
450,451,"[999189, 962229, 1068292, 1044078, 927265]"
451,452,"[935284, 1069621, 961269, 1106301, 1017841]"
452,453,"[912997, 932631, 1098284, 910473, 1134296]"
453,454,"[1029743, 1106523, 1053690, 5569230, 5592734]"
454,455,"[942525, 967041, 7025189, 5569230, 6463464]"
455,456,"[5569230, 8090536, 901916, 910207, 930918]"
456,457,"[1029743, 909894, 873654, 860975, 1044655]"
457,458,"[1058997, 909894, 860975, 1023958, 873654]"
458,459,"[885290, 863762, 13008412, 12262832, 1077555]"
459,460,"[885939, 1017459, 961554, 876932, 857503]"
460,461,"[1046262, 1058997, 1029743, 1106523, 1050851]"
461,462,"[6533362, 962568, 821025, 1028816, 6034577]"
462,463,"[838797, 1046689, 12330376, 12811532, 8090537]"
463,464,"[856252, 1029743, 15596998, 845319, 880150]"
464,465,"[1053690, 1029743, 1106523, 899624, 987724]"
